k,n,m,time setup,time keygen,time encrypt,time decrypt
3,2,3,30086278.915405273,3286123.275756836,69856.64367675781,188911676.40686035
4,3,4,50031661.98730469,3461599.349975586,101327.89611816406,201894283.29467773
5,4,5,29680252.075195312,3420591.354370117,118732.45239257812,237139225.00610352
6,5,6,35557508.46862793,4748106.002807617,233888.6260986328,335545778.27453613
7,6,7,30872821.807861328,3640890.121459961,203132.62939453125,424684286.1175537
8,7,8,30751943.588256836,3582954.4067382812,325918.19763183594,653037548.0651855
9,8,9,31663656.23474121,4069328.3081054688,378847.1221923828,886310815.8111572
10,9,10,33554315.5670166,4331350.326538086,515699.3865966797,880211353.302002
